,name,rating,type,ailment_tokens,positive_effects,negative_effects,description,effects,flavors,strain_id
871,Majestic 12,4.55,hybrid,"['depression', 'pain', 'stress', 'headache']","Relaxed, Euphoric, Happy, Tingly",Dry Mouth,"3C Majestic 12 satisfies all the requirements of a delicious ‘purple’ strain. Leaves of violet and purple? Check. Dense with frosty trichomes and orange pistols? Check. Deep, sweet earthy flavor? Check. Extremely relaxing on the mind and body? Check. This strain is named for a secret committee of scientists, military, and government officials organized to investigate and recover an alien spacecraft—an apt title for this hybrid blend of Space Queen and Obama OG. It hits the mind first, but is closely followed by total body relaxation. Majestic 12 is preferred by patients looking to tackle anxiety and pain at the same time.","Relaxed,Tingly,Happy,Euphoric,Creative","Earthy, Sweet, Berry",871
872,Mako Haze,3.18,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'nausea']","Hungry, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Mako Haze is named after the shark that has a reputation for speed and power, and the strain has the same reputation for its effects that come on quickly. This 75% sativa strain was created by Kiwiseeds and quickly became popular in the company’s native Amsterdam for its smooth smoke and energetic effects. It has also earned recognition in the U.S. as the 1st Prize winner in the sativa category at the 2006 High Times Cannabis Cup. Mako Haze is the product of breeding Haze with Kiwi Green. Like many fellow sativas, it’s a slow grower, flowering at 10-13 weeks, but produces a high yield of buds covered in sticky THC crystals. Testing has placed this strain’s THC content at over 19%.","Euphoric,Happy,Relaxed,Hungry,Uplifted","Pine, Sage, Lemon",872
873,Malakoff,2.05,sativa,"['depression', 'pain', 'stress', 'fatigue', 'eye', 'pressure']","Happy, Creative, Energetic, Talkative, Focused","Dry Mouth, Dry Eyes","Bred by Medical Seeds Co., Malakoff is an 80/20 sativa-dominant strain that crosses Strawberry Haze and White Widow. Malakoff tends to hit with a strong cerebral effect, making it a great choice for users who prefer a creative and energizing high. It may also offer therapeutic qualities for those suffering from anxiety or depression. This strain flowers in about 70 to 75 days and can be harvested mid-October.","Focused,Talkative,Creative,Energetic,Happy","Sweet, Earthy, Tobacco",873
874,Malawi,3.64,sativa,"['depression', 'stress', 'nausea', 'fatigue', 'headache']","Euphoric, Happy, Energetic, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Malawi is a pure sativa strain that comes from the Salima region of Malawi in southeast Africa. This strain has an extremely long flowering time, sometimes up to 120 days. Always worth the wait, Malawi produces long and resin-coated buds, a great smoke for any occasion.","Energetic,Uplifted,Focused,Happy,Creative","Earthy, Flowery, Sweet",874
875,Mammoth,3.86,hybrid,"['pain', 'stress', 'fatigue', 'inflammation', 'muscle', 'spasm']","Relaxed, Happy, Creative, Uplifted, Focused",Not Available,"This hybrid from The Bank Cannabis Genetics is a cross between the sativa-dominant Snowcap and indica-dominant LA Confidential. There isn’t a lot of information available on Mammoth, but the breeder suggests that growers should look for phenotypes featuring the enormous yields of Snowcap, the shorter flowering time and manageable height of LA Confidential, and the dense buds, high potency, resin production, and disease resistance of both parents.","Happy,Relaxed,Focused,Uplifted,Creative","Honey, Earthy, Apricot",875
876,Mango,2.95,indica,"['depression', 'insomnia', 'pain', 'stress', 'nausea', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","The Mango cannabis strain has been around since the early 1960s. In 1991, it was crossed with KC 33 to give us the current Mango strain. Its buds have been known to grow very large, about the size of a softball, and can be up to a foot and a half in length. The foliage turns to a deep red/purple color with a smell and taste of sweet mango. Mango takes 9 to 11 weeks to flower and has a THC content of 15-20%.","Relaxed,Sleepy,Happy,Euphoric,Focused","Mango, Sweet, Lemon",876
877,Mango Dream,2.5,sativa,"['depression', 'pain', 'stress', 'headache', 'fatigue', 'headache']","Relaxed, Hungry, Happy, Energetic, Focused","Dizzy, Dry Mouth, Dry Eyes","Mango Dream might be just the fresh burst of energy you need to get going. Most likely a cross of Mango and Blue Dream, this sativa serves up an instant mental boost, much like a morning cup of coffee. While it can have mild pain relief effects, this Dream is more for those who are looking for a cerebral rush. Flowers will be frosty with trichomes and have rich mango-hued hairs.","Talkative,Happy,Euphoric,Relaxed,Creative","Tropical, Sweet, Citrus",877
878,Mango Haze,4.09,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'fatigue']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Mango Haze is a mostly sativa strain bred by Mr. Nice Seeds, who crossed Northern Lights #5, Skunk, and Haze to create this uplifting, fruity variety. Though similar to its sibling strain Super Silver Haze, Mango Haze exhibits a distinctive mango aroma coupled with a buzzing cerebral sensation.","Happy,Relaxed,Euphoric,Focused,Uplifted","Mango, Tropical, Sweet",878
879,Mango Kush,3.41,hybrid,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'headache']","Relaxed, Euphoric, Happy, Uplifted, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","The Mango Kush marijuana strain tastes similar to the actual mango fruit, with a distinct kush flavor and hints of pine on the exhale. Its buds are covered with orange pistils and are described as very dense. The plant has an average growth height of 4-5 feet. Flowering is 9-11 weeks and is a favorite with both indoor and outdoor growers. The buds have thick shiny trichomes which are evident when the bud is broken apart. The smell and taste are the same and described as mango and banana. THC content has been measured up to 16% and CBD at 0.3%.","Happy,Relaxed,Uplifted,Euphoric,Giggly","Mango, Tropical, Sweet",879
880,Mango Tango,4.09,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite']","Relaxed, Euphoric, Happy, Creative, Uplifted","Dry Mouth, Dry Eyes","Mango Tango is a hybrid cannabis strain by Elemental Seeds whose crushing indica effects dance with a pungent, fruity flavor profile. Its True OG parent passes on heavily relaxing effects typical of Kush varieties while its loud citrus and peach flavors come from Tangie and Peaches genetics. A subtle pine flavor can be detected on the exhale, creating a complex taste that helped this strain win 1st place in the 2015 SoCal Cannabis Cup.","Relaxed,Happy,Euphoric,Giggly,Sleepy","Mango, Tropical, Tree Fruit",880
881,Mangolicious,5.0,indica,"['depression', 'pain', 'cramp', 'fatigue', 'muscle', 'spasm']","Euphoric, Happy, Creative, Energetic, Giggly",Not Available,"Mangolicious is an indica-dominant cross of Big Bud and White Widow. This cut expresses a tropical aroma and robust bud structure. It has a relatively speedy flowering time and a generous yield thanks to its Big Bud genetics. Mangolicious’s full-body effects and pleasant mango smell speak to potentially high levels of myrcene, a terpene known for its weighted “couchlocking” effect.","Uplifted,Focused,Relaxed,Giggly,Happy","Mango, Pineapple, Sweet",881
882,Manitoba Poison,3.86,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'muscle', 'spasm']","Relaxed, Happy, Sleepy, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Manitoba Poison is a 50/50 hybrid with heavy indica properties that vastly outweigh its sativa counterpart. Its effects arrive instantaneously, delivering deep relaxation that easily converts to a good night’s sleep. The rounded, purple-fringed buds are wreathed in dark jade leaves and have a fresh, woody aroma that carries through until the exhale. Bred by Great White North from unnamed African varieties, Manitoba Poison thrives outdoors in temperate northern climates and grows about 4 feet tall.","Relaxed,Happy,Sleepy,Focused,Uplifted","Spicy/Herbal, Earthy, Cheese",882
883,Maple Leaf Indica,3.41,indica,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'fatigue']","Relaxed, Euphoric, Happy, Tingly, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","The Maple Leaf is a heroic strain of Indica with fat leaves, plump buds, and caked with crystals. Ml's lineage spans from the Hindu Kush region in Afghanistan and has survived through some turbulent times due to the invading former USSR in the 80s. The taste of the herb is sweet, somewhat citrusy, and smells of incense. The effect of this wonderful strain has been known to act as an aphrodisiac and gives off a very relaxing and sensational body buzz. Coupled with a loved one and some good music or a good movie, Maple Leaf Indica can help provide the right mood for romance...or if enjoyed too much, can bring on a deep sleep right in the middle of your plans.","Relaxed,Sleepy,Tingly,Euphoric,Happy","Sweet, Butter, Vanilla",883
884,Marcosus Marshmellow,2.5,hybrid,"['depression', 'insomnia', 'stress']","Euphoric, Happy, Creative, Energetic, Uplifted",Not Available,"Marcosus Marshmellow is a Girl Scout Cookies phenotype grown by Remedy Cultivation. Named for its cloudy white trichomes and sticky buds, this strain stinks of sweet, minty terpenes with an enjoyable earthy undertone. Marcosus Marhmellow imbues consumers with a happy, relaxing buzz. The strain’s pleasant euphoria can help improve mood, stimulate appetite, and assist with restlessness.","Euphoric,Uplifted,Happy,Creative,Energetic","Minty, Berry, Grape",884
885,Marionberry Kush,3.86,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Hungry, Euphoric, Happy, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","Like the fruit it is named for, Marionberry Kush is a delicious hybrid bred by Heroes of the Farm. A well-balanced cross of Raspberry Kush and Space Queen that puts off a full spectrum of fruity flavors, Marionberry Kush closely resembles her genetic “sister” Cinderella 99. There are six main phenotypes of Marionberry that all show a range of fruit flavors like passionfruit and raspberry. The aroma is smooth, sweet, and earthy with a sour twist. The effects are pronounced and uplift the mind almost immediately and then slowly relax the body without putting you to sleep.","Happy,Relaxed,Uplifted,Euphoric,Creative","Berry, Sweet, Pungent",885
886,Martian Candy,4.32,hybrid,"['depression', 'insomnia', 'stress', 'nausea', 'fatigue']","Relaxed, Happy, Talkative, Uplifted, Giggly",Dry Mouth,"Martian Candy (also known as Martian Candy OG) is a indica-dominant hybrid with an aroma that is out of this world. This strain smells rich with herbaceous notes and just a hint of eucalyptus. It leans heavily on the body, lowering the eyes immediately after the first puff. Its strong body buzz expands gradually, relaxing the limbs to the point of sedation with continued use. Martian Candy is ideal for patients suffering from stress, anxiety, PTSD, and nausea.","Relaxed,Happy,Uplifted,Euphoric,Talkative","Sweet, Woody, Earthy",886
887,Martian Mean Green,3.18,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes, Anxious","A combination of Sharksbreath and G13 Haze, Martian Mean Green (type C) is one of DNA Genetics' flagship strains. With its super pungent aroma and consciousness-altering effects, consumers might wonder if this herb came from outer space. Martian Mean Green is a sativa-dominant hybrid that can be helpful for relieving stress.","Euphoric,Happy,Hungry,Uplifted,Focused","Pungent, Flowery, Skunk",887
888,Master Bubba,3.41,indica,"['insomnia', 'pain', 'stress', 'lack', 'appetite', 'inflammation']","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Master Bubba is the perfect strain for those looking for true indica effects. Bred from Master Kush and Bubba Kush, it’s popular for the treatment of pain, stress and insomnia thanks to the strong body sedation it provides. Master Bubba plants flower at 8 to 9 weeks with smaller, dense buds that can have a fruity, musky aroma. Kush earthiness is the main note in its smooth flavor. This strain can be very potent, making it best in the evening or as a nightcap.","Relaxed,Euphoric,Happy,Uplifted,Sleepy","Earthy, Sweet, Tropical",888
889,Master Jedi,3.64,indica,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'fatigue']","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","The secret of the Jedis may lie in this powerful plant. We can only assume that Master Jedi was created in the Galactic Republic, most likely as a cross between Master Kush and Jedi Kush. When growing, these younglings are bushy and generally high yielders. Once they flower at about 8 weeks, the buds will give off the distinctly musky aroma that kush strains are known for. These kush traits come through in the taste as well along with a lemony citrus aftertaste. The indica Force is strong with this one and it definitely promotes full body relaxation, so make sure you’re ready to begin your training. Master Jedi may also be a Jedi 41 backcross.","Relaxed,Euphoric,Creative,Focused,Uplifted","Pungent, Pine, Earthy",889
890,Master Kush,3.41,indica,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'headache']","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Master Kush is a popular indica cross created out of two landrace strains from different parts of the Hindu Kush region. Master Kush is bred by the Dutch White Label Seed Company, located in Amsterdam. During maturation the plant produces a subtle earthy, citrus smell with a hint of incense, which is often described as a vintage flavor. The taste of Master Kush is reminiscent of the famous hard-rubbed charas hash. This strain holds a superb balance of full-body relaxation without the mind-numbing effect that many indica strains produce. Instead, Master Kush offers a sharpened sensory awareness that can bring out the best of any activity.","Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy, Pungent, Spicy/Herbal",890
891,Master Skunk,4.09,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'headache']","Relaxed, Euphoric, Uplifted, Sleepy, Giggly","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Master Skunk by Mr. Nice Seeds is an indica-dominant hybrid that crosses Master Kush with Skunk #1. With an aroma both sweet and earthy like its Master Kush parent, Master Skunk induces heavy relaxation throughout the mind and body. This strain is recommended for late-night consumption and for patients treating sharp or chronic pain. Master Skunk plants are resilient and mold-resistant with a flowering time of 7 to 9 weeks, making this hybrid a great choice for growers learning the horticultural ropes.","Relaxed,Uplifted,Euphoric,Happy,Creative","Skunk, Earthy, Pungent",891
892,Master Yoda,3.86,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","With lab-tested THC levels that reach over 20%, strong medicine, Master Yoda is. This strain, however, is not about brute “Force,” as the original Master Yoda would know, and the sativa side of this mostly indica buzz has just enough of an uplifting balance to please just about anyone. Master Yoda clinched 1st Place at High Times Los Angeles Cannabis Cup in 2012, where the OG Kush and Master Kush cross was already a local favorite. Growers also like this strain for its hybrid resilience and its 8 week flowering time.","Relaxed,Happy,Euphoric,Uplifted,Focused","Earthy, Sweet, Pungent",892
893,Matanuska Thunder Fuck,3.41,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'fatigue']","Relaxed, Euphoric, Happy, Creative, Focused","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Since many marijuana strains hail from the tropics or specific breeding hubs, it’s no surprise that this Alaskan hybrid’s name celebrates its origins. Developed from strains grown in Matanuska Valley’s grasslands, the flowers on these plants develop a frosting of icy white hairs that bring to mind its snowy homeland. Despite its rugged roots, these plants do best indoors but will still yield well in outdoor dry climates for the experienced grower. They will remain squat in size but tend to have very large leaves. This strain smells like hot chocolate with fruit, the latter of which can dominate the taste. Matanuska’s effects tend to come on slowly and then give a strong body buzz. It also goes by the less colorful name Matanuska Tundra, especially outside of the United States.","Happy,Euphoric,Energetic,Hungry,Relaxed","Earthy, Pungent, Skunk",893
894,Mataro Blue,4.09,indica,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Hungry, Euphoric, Happy, Tingly","Dizzy, Dry Mouth","Mataro Blue by Kannabia Seeds is a rare three-way cross of Black Domina x Mazar I Sharif x Blue Monster. This strain is a stable, high yield producer on top of having flavorful, award-winning genetics. Its strong medicinal effects sedate and relax the consumer, helping to combat insomnia, chronic pain, and restlessness. Mataro Blue won 1st place rosin at the 2016 Lift Expo, Toronto, as well as 1st place medical indica at the 2012 Treating Yourself Expo, Toronto.","Relaxed,Sleepy,Euphoric,Hungry,Tingly","Berry, Sweet, Blueberry",894
895,Maui,3.18,sativa,"['depression', 'pain', 'stress', 'lack', 'appetite', 'headache', 'fatigue']","Euphoric, Happy, Creative, Talkative, Uplifted","Dry Mouth, Paranoid, Dry Eyes, Anxious","A relative to Hawaiian sativa strains, Maui lives up to its tropical reputation. The musky overtones for this easy sativa are complemented by its fruity aftertaste and floral aroma. Less uplifting than other sativas, Maui tends to be head heavy and delivers a slow cerebral sensation that becomes more prominent over time. Maui effects tend to be medium-long in duration, lasting over 2 hours for many users.","Relaxed,Uplifted,Tingly,Happy,Talkative","Sweet, Citrus, Tropical",895
896,Maui Bubble Gift,4.09,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'inflammation']","Relaxed, Euphoric, Happy, Uplifted, Tingly","Dry Mouth, Dry Eyes","Maui Bubble Gift is an indica-dominant hybrid strain whose known parent strains include Bubble Gum and a Maui Wowie/God’s Gift hybrid. This strain’s CBD content often outweighs its THC levels, making it a great match for consumers with pain, anxiety, and inflammation. With only mildly psychoactive effects, Maui Bubble Gift delivers its soothing relief alongside an earthy, floral aroma.","Relaxed,Uplifted,Happy,Tingly,Euphoric","Sweet, Citrus, Pungent",896
897,Maui Citrus Punch,3.86,sativa,"['pain', 'stress', 'inflammation', 'muscle', 'spasm']","Relaxed, Euphoric, Creative, Energetic, Uplifted","Dizzy, Dry Mouth, Dry Eyes","Maui Citrus Punch is an exquisitely fruity strain that combines the best of Maui Dawg and Tangelo Kush. These parent strains come together to create a cross that is pleasurable to nearly all the senses, exhibiting bright citrus notes with funky skunky undertones. The flavor holds on to the citrus and slight earthiness that slowly morphs into a high energy euphoria which settles in the body. Consider enjoying Maui Citrus Punch outdoors, as the aroma alone will draw attention.","Relaxed,Energetic,Uplifted,Creative,Euphoric","Citrus, Tropical, Skunk",897
898,Maui Haole,4.09,hybrid,"['depression', 'pain', 'stress', 'seizure', 'muscle', 'spasm']","Relaxed, Euphoric, Creative, Sleepy, Aroused",Dizzy,"Maui Haole is a balanced hybrid that combines the sweet, tropical flavors of Maui Wowie with Romulan’s full-bodied relaxation. Bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, Maui Haole takes powerful influence from the original Romulan Joe cut of Romulan. Its uplifting sativa influence stems from Maui Wowie genetics sourced from the Lower Nāhiku region of Hawaii. Haole is a Hawaiian term for a foreigner or someone that is not native to Hawaii, and Romulan is an alien race from the legendary sci-fi series Star Trek. Thus, the combination of the two leaves us with Maui Haole, or 'Hawaiian Alien.'","Happy,Creative,Euphoric,Aroused,Sleepy","Diesel, Pungent, Tropical",898
899,Maui Mango Diesel,3.41,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite']","Euphoric, Happy, Creative, Energetic, Uplifted",Not Available,"Maui Mango Diesel is a sativa-dominant hybrid of Maui Wowie and Brooklyn Mango bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. The Maui Waui father was sourced from Lower Nāhiku Maui, while the mother is Dr. Underground’s Brooklyn Mango. Their combination results in a flavorful mix of sweet mango and tropical flavors that invigorate the senses and uplift your mood.","Euphoric,Relaxed,Uplifted,Happy,Creative","Mango, Diesel, Tropical",899
900,Maui Pineapple Chunk,4.32,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'muscle', 'spasm']","Euphoric, Creative, Talkative, Uplifted, Focused",Not Available,"Maui Pineapple Chunk is a 50/50 hybrid bred by Pua Mana 1st Hawaiian Pakalōlō Seed Bank, who crossed Pineapple Chunk with their Nāhiku Maui Wowie to create this balanced Hawaiian strain. Sweet and sour tropical flavors reminiscent of this strain’s homeland deliver you to a calm, uplifted mindset far away from stress.","Creative,Euphoric,Uplifted,Aroused,Energetic","Pineapple, Tropical, Earthy",900
901,Maui Wowie,3.64,sativa,"['depression', 'pain', 'stress', 'fatigue', 'headache']","Relaxed, Euphoric, Happy, Energetic, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Maui Wowie (not Maui Waui) is a classic sativa whose tropical flavors and stress-relieving qualities will float you straight to the shores of Hawaii where this strain was originally born and raised. Since its beginnings in the island’s volcanic soil, Maui Wowie has spread across the world to bless us with its sweet pineapple flavors and high-energy euphoria. Lightweight sativa effects allow your mind to drift away to creative escapes, while Maui Wowie’s motivating, active effects may be all you need to get outside and enjoy the sun. This tall, lanky strain is best suited for cultivation in warm, tropical climates that mirror its homeland, but a bright environment and nutrient-rich soil are typically adequate for indoor growth.","Happy,Uplifted,Energetic,Relaxed,Creative","Tropical, Pineapple, Sweet",901
902,Mazar I Sharif,3.64,indica,"['insomnia', 'pain', 'lack', 'appetite', 'inflammation', 'muscle', 'spasm']","Relaxed, Euphoric, Happy, Creative, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","A legendary strain grown in the far north of Afghanistan. In fertile and well-irrigated soils these vigorous giants are capable of reaching 4 metres in height or more, and will produce a similarly immense yield of intensely resinous flowers. Over-indulgence produces a mind-warping, immobilising and narcotic effect. One of this strain's phenotypes has been described as producing 'very potent physical relaxation'; this is likely to be indicative of high CBD levels.","Relaxed,Sleepy,Euphoric,Happy,Hungry","Sweet, Spicy/Herbal, Citrus",902
903,Mazar Kush,3.41,indica,"['insomnia', 'pain', 'stress', 'nausea', 'inflammation']","Relaxed, Happy, Sleepy, Giggly","Dry Mouth, Paranoid, Dry Eyes, Anxious","Mazar Kush is an indica-dominant hybrid cross between Afghani and Mazar I Sharif, two age-old indica strains originating from the Afghanistan-Pakistan region. This strain delivers powerfully relaxing effects to both body and mind, making it a good choice for late night use or for after-work unwinding.","Relaxed,Sleepy,Happy,Giggly,Hungry","Pungent, Earthy, Nutty",903
904,Mean Misty,3.18,hybrid,"['depression', 'insomnia', 'stress']","Relaxed, Euphoric, Energetic, Talkative, Uplifted",Not Available,"Mean Misty is a fruity hybrid with quality mental and physical effects. Brought to life through the genetic cross of Secret Recipe and Blue Dream, Mean Misty emanates a strong berry aroma with earthy elements that speak to its OG heritage. This strain sits firmly between physical and mental effects, gaining an effervescent head rush from the Sour Diesel (in Secret Recipe) and the Haze (in Blue Dream) while garnering the mid-level relaxation of Abusive OG (in Secret Recipe) and Blueberry (in Blue Dream). This strain has been known to push upwards of 20% THC, so mind your dosage and enjoy with care.","Relaxed,Uplifted,Talkative,Tingly,Energetic","Flowery, Sweet",904
905,Medibud,3.86,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'headache', 'inflammation']","Relaxed, Euphoric, Happy, Uplifted, Focused","Dizzy, Dry Mouth, Dry Eyes, Anxious","Medibud (or Medi Bud) is an uplifting hybrid strain of unknown genetic origins, but many attribute its upbeat, active effects to sativa parentage. Others claim Medibud is a 60/40 indica-dominant cross, so it’s possible that this strain expresses itself in various phenotypes. Typically, you can expect high-energy euphoria and heightened sensory awareness from Medibud, but its indica-leaning phenotypes may induce heavier, more relaxing effects.","Uplifted,Relaxed,Euphoric,Happy,Focused","Sweet, Berry, Flowery",905
906,Medicine Man,3.64,hybrid,"['pain', 'stress', 'nausea', 'headache', 'headache', 'inflammation']","Relaxed, Euphoric, Happy, Creative, Talkative","Dizzy, Dry Mouth, Paranoid, Dry Eyes","Medicine Man delivers potent pain relief and high levels of THC and CBDs, making it a popular recommendation for many medical conditions from headaches and migraines to chronic pain management. Its heritage lies in Brazilian, Indian, and Afghani strains, though Medicine Man is sometimes mistaken to be its close family member, White Rhino. These plants require a little know-how to grow, but when done right they should produce large flowers in 8 to 10 weeks. Medicine Man is a nice strain to look at, with a range of greens and sometimes purples and yellow and red hairs throughout its dense buds. This medicine has a fruity aroma, with just a slight sour note that isn’t quite strong enough to have you reaching for that spoonful of sugar.","Relaxed,Uplifted,Sleepy,Happy,Euphoric","Woody, Earthy, Pungent",906
907,Medicine Woman,4.09,hybrid,"['depression', 'pain', 'stress', 'cramp', 'fatigue']","Relaxed, Euphoric, Happy, Creative, Uplifted",Not Available,"Medicine Woman is a 60/40 sativa-dominant hybrid strain from renowned Oregon medical cannabis grower David Verstoppen. Aiming to help treat the symptoms of his wife’s fibromyalgia, Dave crossed Hash Plant, Dynamite, and G13 to create this potent hybrid. Measured at over 23% THC, it relaxes muscles and provides powerful pain relief along with an energetic, clear-headed high. The aroma of Medicine Woman is sweet and skunky, and it tastes of sour citrus and diesel fuel.","Uplifted,Happy,Relaxed,Euphoric,Creative","Earthy, Citrus, Diesel",907
908,Medusa,2.95,hybrid,"['depression', 'insomnia', 'pain', 'stress', 'fatigue']","Relaxed, Euphoric, Happy, Creative, Uplifted","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Medusa mixes smooth, sweet flavors with an earthy aroma of fresh blueberries to create a compelling hybrid. Using their strain Misty, Nirvana Seeds has developed a strong mix of sedating body effects with balanced and clear cerebral activity. Medical consumers appreciate Medusa’s ability to combat sleep issues and body pains.","Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy, Butter, Nutty",908
909,Mega Jackpot,2.73,hybrid,"['depression', 'stress', 'lack', 'appetite', 'fatigue', 'headache']","Relaxed, Euphoric, Happy, Creative, Energetic",Not Available,"Mega Jackpot is a sativa-dominant hybrid that mixes genetics from Jack Herer, Northern Lights, and Haze. The three-way combination creates a potent strain with flavors of grape and vanilla. The effects from Mega Jackpot create a cerebral energy that incites creativity and happiness. While not the easiest strain to grow, seasoned growers will appreciate Mega Jackpot’s purple hues and THC levels that reach upwards of 25%.","Relaxed,Happy,Uplifted,Euphoric,Hungry","Berry, Grape, Strawberry",909
910,Megalodon,3.64,sativa,"['depression', 'stress', 'lack', 'appetite', 'nausea', 'fatigue']","Euphoric, Happy, Creative, Energetic, Uplifted",Not Available,"Megalodon, named for the prehistoric shark of the same name, is a sativa-dominant strain with a trichome-rich lineage. This strain was created by crossing Great White Shark x White Widow x Snow White, alluding to the dense blanket of trichomes that coats it. The Canadian-born strain smells of fresh cut grass and skunk. Megalodon’s effects are heady and uplifting, making it ideal for focus, creativity, and shrugging off depression. Pair this strain with a sunny day for best possible results.","Uplifted,Happy,Hungry,Creative,Euphoric","Skunk, Earthy, Spicy/Herbal",910
911,Melon Gum,3.41,hybrid,"['depression', 'pain', 'stress', 'fatigue', 'inflammation']","Relaxed, Happy, Creative, Uplifted, Sleepy","Dizzy, Dry Mouth, Paranoid, Dry Eyes, Anxious","Melon Gum was born with the crossing of Lavender and Bubble Gum, who pass on a combination of fruity flavors and vibrant bud coloration. Sweet notes of melon, strawberry, and lemon come together to create an intricate flavor profile that lends this strain its name. Melon Gum produces heavy yields following its 50 to 57 day flowering time indoors, and outdoor cultivators should plan to harvest during the September and October transition.","Happy,Relaxed,Creative,Euphoric,Focused","Sweet, Lavender, Flowery",911
912,Memory Loss,4.09,sativa,"['depression', 'pain', 'stress', 'fatigue', 'muscle', 'spasm']","Hungry, Euphoric, Talkative, Uplifted","Dry Mouth, Anxious","Memory Loss is a fast-finishing 70% sativa hybrid from Archive Seed Bank that smells very much like a Dutch Haze, with a strong, peppery incense odor and undertones of bubblegum and fruit. This cross of Amnesia Haze and a Face Off OG male produces large, easy to grow plants and heavy yields. Memory Loss is named for its mind-warping high that can leave users in a disoriented and forgetful mental state.","Creative,Uplifted,Happy,Euphoric,Talkative","Earthy, Woody, Citrus",912
913,Mendo Breath,4.55,indica,"['depression', 'insomnia', 'pain', 'stress', 'lack', 'appetite', 'headache']","Relaxed, Hungry, Euphoric, Happy, Sleepy","Dizzy, Dry Mouth, Dry Eyes, Anxious","Mendo Breath is an interesting mix of OGKB (OGKushBreath, which is the supposed patriarch in the Cookies Fam genetics) and Mendo Montage. Their forces combined make dense frosty buds that reek of sweet vanilla and caramel. But no matter how good this smells, save it for after work. This thumper can pivot your entire day’s plans with its powerful body high built for chronic pain and discomfort.","Relaxed,Euphoric,Sleepy,Happy,Uplifted","Earthy, Sweet, Pungent",913
